#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=11 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1022 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:120 out:121 type:b dur:2 cpbdur:2 q:19.49 aq:16.34 tex:6433 mv:355 misc:388 imb:3 pmb:75 smb:842 d:- ref:0 ;
in:122 out:122 type:I dur:2 cpbdur:2 q:17.37 aq:8.44 tex:412563 mv:28085 misc:416 imb:920 pmb:0 smb:0 d:- ref:;
in:126 out:123 type:P dur:2 cpbdur:2 q:20.45 aq:11.55 tex:45880 mv:2477 misc:1003 imb:86 pmb:422 smb:412 d:- ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:20.45 aq:14.01 tex:6354 mv:500 misc:738 imb:1 pmb:183 smb:736 d:- ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:20.45 aq:14.49 tex:3508 mv:973 misc:759 imb:7 pmb:190 smb:723 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:20.45 aq:16.05 tex:4194 mv:335 misc:359 imb:0 pmb:56 smb:864 d:- ref:0 ;
in:128 out:127 type:P dur:2 cpbdur:2 q:19.65 aq:12.35 tex:23767 mv:570 misc:735 imb:4 pmb:154 smb:762 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:20.05 aq:13.98 tex:6626 mv:343 misc:287 imb:0 pmb:39 smb:881 d:- ref:0 ;
in:130 out:129 type:P dur:2 cpbdur:2 q:19.44 aq:12.32 tex:23605 mv:489 misc:610 imb:11 pmb:109 smb:800 d:- ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:19.54 aq:14.36 tex:4126 mv:200 misc:274 imb:1 pmb:33 smb:886 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:19.25 aq:10.91 tex:17927 mv:402 misc:519 imb:2 pmb:89 smb:829 d:- ref:0 ;
in:133 out:132 type:P dur:2 cpbdur:2 q:19.16 aq:11.76 tex:95199 mv:1672 misc:785 imb:54 pmb:651 smb:215 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:19.20 aq:14.87 tex:7113 mv:913 misc:710 imb:6 pmb:167 smb:747 d:- ref:0 ;
in:136 out:134 type:P dur:2 cpbdur:2 q:19.14 aq:12.03 tex:30328 mv:578 misc:830 imb:8 pmb:196 smb:716 d:- ref:0 ;
in:134 out:135 type:B dur:2 cpbdur:2 q:19.15 aq:16.66 tex:3634 mv:250 misc:404 imb:0 pmb:56 smb:864 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:19.15 aq:13.96 tex:3263 mv:372 misc:309 imb:1 pmb:46 smb:873 d:- ref:0 ;
in:138 out:137 type:P dur:2 cpbdur:2 q:18.83 aq:11.29 tex:22380 mv:443 misc:625 imb:4 pmb:123 smb:793 d:- ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:18.98 aq:14.26 tex:6381 mv:415 misc:308 imb:0 pmb:45 smb:875 d:- ref:0 ;
in:141 out:139 type:P dur:2 cpbdur:2 q:18.70 aq:11.72 tex:27347 mv:432 misc:613 imb:15 pmb:112 smb:793 d:- ref:0 ;
in:139 out:140 type:B dur:2 cpbdur:2 q:18.79 aq:14.01 tex:4167 mv:280 misc:313 imb:0 pmb:40 smb:880 d:- ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:18.75 aq:14.78 tex:4550 mv:307 misc:263 imb:0 pmb:38 smb:882 d:- ref:0 ;
in:145 out:142 type:P dur:2 cpbdur:2 q:18.48 aq:13.16 tex:56578 mv:964 misc:938 imb:40 pmb:316 smb:564 d:- ref:0 ;
in:143 out:143 type:B dur:2 cpbdur:2 q:18.59 aq:13.28 tex:5841 mv:279 misc:552 imb:3 pmb:89 smb:828 d:- ref:0 ;
in:142 out:144 type:b dur:2 cpbdur:2 q:18.65 aq:13.37 tex:5943 mv:375 misc:266 imb:0 pmb:37 smb:883 d:- ref:0 ;
in:144 out:145 type:b dur:2 cpbdur:2 q:18.54 aq:15.13 tex:5168 mv:391 misc:505 imb:4 pmb:88 smb:828 d:- ref:0 ;
in:149 out:146 type:P dur:2 cpbdur:2 q:18.42 aq:13.76 tex:24748 mv:535 misc:517 imb:16 pmb:83 smb:821 d:- ref:0 ;
in:147 out:147 type:B dur:2 cpbdur:2 q:18.45 aq:15.59 tex:9665 mv:285 misc:386 imb:0 pmb:59 smb:861 d:- ref:0 ;
in:146 out:148 type:b dur:2 cpbdur:2 q:18.47 aq:14.82 tex:7417 mv:301 misc:298 imb:1 pmb:45 smb:874 d:- ref:0 ;
in:148 out:149 type:b dur:2 cpbdur:2 q:18.44 aq:14.14 tex:2990 mv:331 misc:303 imb:2 pmb:38 smb:880 d:- ref:0 ;
in:152 out:150 type:P dur:2 cpbdur:2 q:18.08 aq:0.00 tex:44 mv:160 misc:340 imb:45 pmb:0 smb:875 d:- ref:0 w:0,0,16,7,1,127,1,127 ;
